127.0.0.1 - - [14/Apr/2019:17:51:32 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:33 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 3791
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:33 -0400] "GET /bkp12_MusicJPAWeb/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:33 -0400] "GET /bkp12_MusicJPAWeb/css/style.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:50 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 3791
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:50 -0400] "GET /bkp12_MusicJPAWeb/css/style.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:50 -0400] "GET /bkp12_MusicJPAWeb/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:17:51:50 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:05:17 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4853
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:06:15 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:08:28 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4867
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:12:26 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:12:27 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:16:21 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4893
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:17:25 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:17:28 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:17:30 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:17:42 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4909
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:20:57 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4907
0:0:0:0:0:0:0:1 - - [14/Apr/2019:18:21:50 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4916
0:0:0:0:0:0:0:1 - - [14/Apr/2019:20:21:45 -0400] "GET /bkp12_MusicJPAWeb/song2.html HTTP/1.1" 200 4916
